Day,Province,Year,Demand
9-4,Alberta,2018,244021
9-5,Alberta,2018,249263
9-6,Alberta,2018,251343
9-7,Alberta,2018,243153
10-1,Alberta,2018,240628
10-2,Alberta,2018,249611
10-3,Alberta,2018,246089
10-4,Alberta,2018,246925
10-5,Alberta,2018,248918
10-6,Alberta,2018,244918
10-7,Alberta,2018,235815
11-1,Alberta,2018,224979
11-2,Alberta,2018,242684
11-3,Alberta,2018,239975
11-4,Alberta,2018,242846
11-5,Alberta,2018,243868
11-6,Alberta,2018,240667
11-7,Alberta,2018,234594
12-1,Alberta,2018,234030
12-2,Alberta,2018,240470
12-3,Alberta,2018,237564
12-4,Alberta,2018,239484
12-5,Alberta,2018,243393
12-6,Alberta,2018,237184
12-7,Alberta,2018,228162
13-1,Alberta,2018,230287
13-2,Alberta,2018,235193
13-3,Alberta,2018,237452
13-4,Alberta,2018,235316
13-5,Alberta,2018,237573
13-6,Alberta,2018,235227
13-7,Alberta,2018,234437
14-1,Alberta,2018,230570
14-2,Alberta,2018,235879
14-3,Alberta,2018,235846
14-4,Alberta,2018,237763
14-5,Alberta,2018,236975
14-6,Alberta,2018,236655
14-7,Alberta,2018,229540
1-1,Alberta,2019,
1-2,Alberta,2019,
1-3,Alberta,2019,237805
1-4,Alberta,2019,241715
1-5,Alberta,2019,242677
1-6,Alberta,2019,245083
1-7,Alberta,2019,241144
2-1,Alberta,2019,238162
2-2,Alberta,2019,252924
2-3,Alberta,2019,256115
2-4,Alberta,2019,253483
2-5,Alberta,2019,249401
2-6,Alberta,2019,246522
2-7,Alberta,2019,236011
3-1,Alberta,2019,238596
3-2,Alberta,2019,247081
3-3,Alberta,2019,250992
3-4,Alberta,2019,255687
3-5,Alberta,2019,257281
3-6,Alberta,2019,256934
3-7,Alberta,2019,250060
4-1,Alberta,2019,243507
4-2,Alberta,2019,248687
4-3,Alberta,2019,248823
4-4,Alberta,2019,252621
4-5,Alberta,2019,252965
4-6,Alberta,2019,246008
4-7,Alberta,2019,235899
5-1,Alberta,2019,237498
5-2,Alberta,2019,251000
5-3,Alberta,2019,254496
5-4,Alberta,2019,250049
5-5,Alberta,2019,249557
5-6,Alberta,2019,256477
5-7,Alberta,2019,256168
6-1,Alberta,2019,254180
6-2,Alberta,2019,256462
6-3,Alberta,2019,260866
6-4,Alberta,2019,259770
6-5,Alberta,2019,260173
6-6,Alberta,2019,262033
6-7,Alberta,2019,259054
7-1,Alberta,2019,259154
7-2,Alberta,2019,262020
7-3,Alberta,2019,262553
7-4,Alberta,2019,260958
7-5,Alberta,2019,261561
7-6,Alberta,2019,261403
7-7,Alberta,2019,252998
8-1,Alberta,2019,250218
8-2,Alberta,2019,253267
8-3,Alberta,2019,251050
8-4,Alberta,2019,251512
8-5,Alberta,2019,255459
8-6,Alberta,2019,249020
8-7,Alberta,2019,249877
9-1,Alberta,2019,251940
9-2,Alberta,2019,260428
9-3,Alberta,2019,259962
9-4,Alberta,2019,253660
9-5,Alberta,2019,250878
9-6,Alberta,2019,255525
9-7,Alberta,2019,253815
10-1,Alberta,2019,250629
10-2,Alberta,2019,253507
10-3,Alberta,2019,253641
10-4,Alberta,2019,254177
10-5,Alberta,2019,252889
10-6,Alberta,2019,249062
10-7,Alberta,2019,231412
11-1,Alberta,2019,238250
11-2,Alberta,2019,241590
11-3,Alberta,2019,240486
11-4,Alberta,2019,239382
11-5,Alberta,2019,240747
11-6,Alberta,2019,239289
11-7,Alberta,2019,232650
12-1,Alberta,2019,230066
12-2,Alberta,2019,235415
12-3,Alberta,2019,231076
12-4,Alberta,2019,227880
12-5,Alberta,2019,231659
12-6,Alberta,2019,232398
12-7,Alberta,2019,227885
13-1,Alberta,2019,228667
13-2,Alberta,2019,233509
13-3,Alberta,2019,230678
13-4,Alberta,2019,232226
13-5,Alberta,2019,230380
13-6,Alberta,2019,228611
13-7,Alberta,2019,221560
14-1,Alberta,2019,220611
14-2,Alberta,2019,225052
14-3,Alberta,2019,225752
14-4,Alberta,2019,227216
14-5,Alberta,2019,228265
14-6,Alberta,2019,228752
14-7,Alberta,2019,223926
1-1,Alberta,2020,
1-2,Alberta,2020,
1-3,Alberta,2020,
1-4,Alberta,2020,236173
1-5,Alberta,2020,247424
1-6,Alberta,2020,248467
1-7,Alberta,2020,243298
2-1,Alberta,2020,243531
2-2,Alberta,2020,252003
2-3,Alberta,2020,256605
2-4,Alberta,2020,256876
2-5,Alberta,2020,259192
2-6,Alberta,2020,262333
2-7,Alberta,2020,256623
3-1,Alberta,2020,258782
3-2,Alberta,2020,263326
3-3,Alberta,2020,264891
3-4,Alberta,2020,262393
3-5,Alberta,2020,261880
3-6,Alberta,2020,262487
3-7,Alberta,2020,260115
4-1,Alberta,2020,254374
4-2,Alberta,2020,251635
4-3,Alberta,2020,245617
4-4,Alberta,2020,248347
4-5,Alberta,2020,252508
4-6,Alberta,2020,247889
4-7,Alberta,2020,239249
5-1,Alberta,2020,241636
5-2,Alberta,2020,249496
5-3,Alberta,2020,251085
5-4,Alberta,2020,252170
5-5,Alberta,2020,248532
5-6,Alberta,2020,245454
5-7,Alberta,2020,238834
6-1,Alberta,2020,241902
6-2,Alberta,2020,252178
6-3,Alberta,2020,250755
6-4,Alberta,2020,245480
6-5,Alberta,2020,244055
6-6,Alberta,2020,244628
6-7,Alberta,2020,241948
