Date,Province,Confirmed,Deaths
Mar-30,Ontario,1706,31
Mar-31,Ontario,1966,33
Apr-01,Ontario,2392,37
Apr-02,Ontario,2793,53
Apr-03,Ontario,3255,67
Apr-04,Ontario,3630,94
Apr-05,Ontario,4354,119
Apr-06,Ontario,4347,150
Apr-07,Ontario,4726,153
Apr-08,Ontario,5276,153
Apr-09,Ontario,5759,200
Apr-10,Ontario,6237,222
Apr-11,Ontario,6648,253
Apr-12,Ontario,7049,274
Apr-13,Ontario,7470,291
Apr-14,Ontario,7953,334
Apr-15,Ontario,8447,385
Apr-16,Ontario,9840,490
Apr-17,Ontario,10456,524
Apr-18,Ontario,11013,564
Apr-19,Ontario,11561,591
Apr-20,Ontario,12063,624
Apr-21,Ontario,12715,694
Apr-22,Ontario,13718,762
Apr-23,Ontario,14068,806
Apr-24,Ontario,14550,862
Apr-25,Ontario,15012,916
Apr-26,Ontario,15568,960
Apr-27,Ontario,15970,1023
Apr-28,Ontario,16500,1072
Apr-29,Ontario,16978,1153
Apr-30,Ontario,17395,1205
May-01,Ontario,17880,1265
May-02,Ontario,18321,1292
May-03,Ontario,18574,1326
May-04,Ontario,19097,1446
May-05,Ontario,19468,1505
May-06,Ontario,19910,1560
May-07,Ontario,20388,1607
May-08,Ontario,20826,1665
May-09,Ontario,21148,1726
May-10,Ontario,21469,1751
May-11,Ontario,21817,1788
May-12,Ontario,22158,1852
May-13,Ontario,22516,1883
May-14,Ontario,22865,1915
May-15,Ontario,23258,1939
May-16,Ontario,23645,1976
May-17,Ontario,23974,1999
May-18,Ontario,24286,2019
May-19,Ontario,24755,2032
May-20,Ontario,25197,2079
May-21,Ontario,25595,2106
May-22,Ontario,26085,2129
May-23,Ontario,26560,2157
May-24,Ontario,26897,2181
May-25,Ontario,27302,2210
May-26,Ontario,27624,2235
May-27,Ontario,27943,2264
May-28,Ontario,28320,2292
May-29,Ontario,28700,2313
May-30,Ontario,29023,2332
May-31,Ontario,29390,2344
Jun-01,Ontario,29845,2353
Jun-02,Ontario,30259,2375
Jun-03,Ontario,30603,2392
Jun-04,Ontario,30946,2436
Jun-05,Ontario,31359,2446
Jun-06,Ontario,31620,2483
Jun-07,Ontario,32096,2502
Jun-08,Ontario,32395,2524
Jan-22,Prince Edward Island,0,0
Jan-23,Prince Edward Island,0,0
Jan-24,Prince Edward Island,0,0
Jan-25,Prince Edward Island,0,0
Jan-26,Prince Edward Island,0,0
Jan-27,Prince Edward Island,0,0
Jan-28,Prince Edward Island,0,0
Jan-29,Prince Edward Island,0,0
Jan-30,Prince Edward Island,0,0
Jan-31,Prince Edward Island,0,0
Feb-01,Prince Edward Island,0,0
Feb-02,Prince Edward Island,0,0
Feb-03,Prince Edward Island,0,0
Feb-04,Prince Edward Island,0,0
Feb-05,Prince Edward Island,0,0
Feb-06,Prince Edward Island,0,0
Feb-07,Prince Edward Island,0,0
Feb-08,Prince Edward Island,0,0
Feb-09,Prince Edward Island,0,0
Feb-10,Prince Edward Island,0,0
Feb-11,Prince Edward Island,0,0
Feb-12,Prince Edward Island,0,0
Feb-13,Prince Edward Island,0,0
Feb-14,Prince Edward Island,0,0
Feb-15,Prince Edward Island,0,0
Feb-16,Prince Edward Island,0,0
Feb-17,Prince Edward Island,0,0
Feb-18,Prince Edward Island,0,0
Feb-19,Prince Edward Island,0,0
Feb-20,Prince Edward Island,0,0
Feb-21,Prince Edward Island,0,0
Feb-22,Prince Edward Island,0,0
Feb-23,Prince Edward Island,0,0
Feb-24,Prince Edward Island,0,0
Feb-25,Prince Edward Island,0,0
Feb-26,Prince Edward Island,0,0
Feb-27,Prince Edward Island,0,0
Feb-28,Prince Edward Island,0,0
Feb-29,Prince Edward Island,0,0
Mar-01,Prince Edward Island,0,0
Mar-02,Prince Edward Island,0,0
Mar-03,Prince Edward Island,0,0
Mar-04,Prince Edward Island,0,0
Mar-05,Prince Edward Island,0,0
Mar-06,Prince Edward Island,0,0
Mar-07,Prince Edward Island,0,0
Mar-08,Prince Edward Island,0,0
Mar-09,Prince Edward Island,0,0
Mar-10,Prince Edward Island,0,0
Mar-11,Prince Edward Island,0,0
Mar-12,Prince Edward Island,0,0
Mar-13,Prince Edward Island,0,0
Mar-14,Prince Edward Island,0,0
Mar-15,Prince Edward Island,1,0
Mar-16,Prince Edward Island,1,0
Mar-17,Prince Edward Island,1,0
Mar-18,Prince Edward Island,1,0
Mar-19,Prince Edward Island,2,0
Mar-20,Prince Edward Island,2,0
Mar-21,Prince Edward Island,2,0
Mar-22,Prince Edward Island,3,0
Mar-23,Prince Edward Island,3,0
Mar-24,Prince Edward Island,3,0
Mar-25,Prince Edward Island,5,0
Mar-26,Prince Edward Island,5,0
Mar-27,Prince Edward Island,9,0
Mar-28,Prince Edward Island,11,0
Mar-29,Prince Edward Island,11,0
Mar-30,Prince Edward Island,18,0
Mar-31,Prince Edward Island,21,0
Apr-01,Prince Edward Island,21,0
Apr-02,Prince Edward Island,22,0
Apr-03,Prince Edward Island,22,0
Apr-04,Prince Edward Island,22,0
Apr-05,Prince Edward Island,22,0
